dataset,image,question_index,question_type,question_text,correct_answer,model_answer,is_correct,raw_output
MVTec-AD,MVTec-AD/bottle/test/broken_large/000.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/000.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/000.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/000.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/000.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/001.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/001.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/001.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/002.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/002.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/002.png,3,Defect Localization,There is a defect in the object. Where is the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/002.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/003.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/003.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/003.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/003.png,4,Defect Analysis,There is a defect in the object. How does the defect affect the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/004.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/004.png,2,Defect Localization,There is a defect in the object. Where is the defect?,B,C,False,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/004.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/004.png,4,Defect Analysis,There is a defect in the object. What is the effect of the defect on the bottle's mouth?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/005.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/005.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/005.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/005.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,D,False,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/005.png,5,Defect Analysis,There is a defect in the object. What is the effect of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/006.png,1,Anomaly Detection,Is there any defect in the object?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/006.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/006.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/006.png,4,Defect Analysis,There is a defect in the object. What is the effect of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/007.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/007.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/007.png,3,Defect Localization,There is a defect in the object. Where is the defect?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/007.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/007.png,5,Defect Analysis,There is a defect in the object. How does the defect manifest on the bottle?,B,B,True,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/008.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/008.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/008.png,3,Defect Localization,There is a defect in the object. Where is the defect?,A,B,False,Answer: B.
MVTec-AD,MVTec-AD/bottle/test/broken_large/008.png,4,Defect Description,There is a defect in the object. What is the appearance of the defect?,C,C,True,Answer: C.
MVTec-AD,MVTec-AD/bottle/test/broken_large/008.png,5,Defect Analysis,There is a defect in the object. What distinguishes the damaged area from the rest of the bottle's edge?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/009.png,1,Anomaly Detection,Is there any defect in the object?,A,A,True,Answer: A.
MVTec-AD,MVTec-AD/bottle/test/broken_large/009.png,2,Defect Classification,There is a defect in the object. What is the type of the defect?,D,D,True,Answer: D.
MVTec-AD,MVTec-AD/bottle/test/broken_large/009.png,3,Defect Description,There is a defect in the object. What is the appearance of the defect?,B,B,True,Answer: B.
